%  hypsometry data
%  created by Bryce Glenn, Julian Cross, and Maciek Obryk
%  orthometric heights
%  based on local datum (WGS84 -56.3 m)
%  Depth h (m)    Area A Min RIS (m^2)	Area A No RIS (m^2)
24.056	0
24.156	4
24.256	228
24.356	972
24.456	2996
24.556	8192
24.656	18328
24.756	29356
24.856	37596
24.956	43220
25.056	48176
25.156	53104
25.256	58188
25.356	62944
25.456	68028
25.556	73140
25.656	78536
25.756	84608
25.856	91172
25.956	97732
26.056	106212
26.156	115148
26.256	124032
26.356	133564
26.456	144304
26.556	156208
26.656	169332
26.756	186104
26.856	203832
26.956	222456
27.056	241756
27.156	262688
27.256	283624
27.356	302660
27.456	319880
27.556	336184
27.656	351168
27.756	366272
27.856	382592
27.956	399536
28.056	416020
28.156	432160
28.256	450664
28.356	469780
28.456	488240
28.556	506052
28.656	523352
28.756	539728
28.856	555384
28.956	571416
29.056	587120
29.156	603716
29.256	620004
29.356	638400
29.456	657896
29.556	679384
29.656	703712
29.756	726656
29.856	746188
29.956	762692
30.056	778196
30.155	792528
30.255	807072
30.355	821496
30.455	835600
30.555	849532
30.655	863232
30.755	876648
30.855	890012
30.955	903420
31.055	916836
31.155	930348
31.255	943900
31.355	956708
31.455	969672
31.555	982424
31.655	994908
31.755	1007248
31.855	1019784
31.955	1031908
32.055	1044612
32.155	1056952
32.255	1069280
32.355	1081808
32.455	1094332
32.555	1107008
32.655	1119512
32.755	1131900
32.855	1144044
32.955	1156304
33.055	1168200
33.155	1180644
33.255	1193436
33.355	1206192
33.455	1219184
33.555	1232188
33.655	1245164
33.755	1258692
33.855	1271196
33.955	1283772
34.055	1296380
34.155	1309112
34.255	1321408
34.355	1333508
34.455	1345752
34.555	1357684
34.655	1369352
34.755	1380884
34.855	1392064
34.955	1403200
35.055	1413956
35.155	1424500
35.255	1435076
35.355	1445784
35.455	1456120
35.555	1466444
35.655	1477076
35.755	1487644
35.855	1497640
35.955	1508144
36.055	1518620
36.155	1528760
36.255	1539224
36.355	1549156
36.455	1558920
36.555	1568988
36.655	1578512
36.755	1588604
36.855	1598700
36.955	1608260
37.055	1617984
37.155	1627428
37.255	1636964
37.355	1646588
37.455	1655908
37.555	1665772
37.655	1675260
37.755	1684440
37.855	1693980
37.955	1703244
38.055	1712956
38.155	1722332
38.255	1731496
38.355	1741156
38.455	1750532
38.555	1760044
38.655	1768968
38.755	1778776
38.855	1788112
38.955	1797336
39.055	1806804
39.155	1816420
39.255	1825792
39.355	1835028
39.455	1844556
39.555	1854164
39.655	1863700
39.755	1872840
39.855	1882104
39.955	1891360
40.055	1900804
40.155	1910400
40.255	1919876
40.355	1929160
40.455	1938368
40.555	1947528
40.655	1957020
40.755	1966492
40.855	1975592
40.955	1984652
41.055	1993752
41.155	2002800
41.255	2011792
41.355	2020796
41.455	2029620
41.555	2038648
41.655	2047648
41.755	2056112
41.855	2064676
41.955	2073316
42.055	2082468
42.155	2091176
42.255	2100108
42.355	2109012
42.455	2117852
42.555	2126508
42.655	2135460
42.755	2144272
42.855	2153004
42.955	2162128
43.055	2171140
43.155	2180312
43.255	2189236
43.355	2198608
43.455	2207804
43.555	2217156
43.655	2226208
43.755	2235488
43.855	2244976
43.955	2253968
44.055	2263016
44.155	2272368
44.255	2281608
44.355	2291220
44.455	2301036
44.555	2310760
44.655	2320724
44.755	2330844
44.854	2340772
44.954	2350540
45.054	2360244
45.154	2369456
45.254	2378944
45.354	2388508
45.454	2397664
45.554	2407132
45.654	2416652
45.754	2425956
45.854	2435356
45.954	2445092
46.054	2454288
46.154	2464032
46.254	2473708
46.354	2483588
46.454	2493356
46.554	2503252
46.654	2513216
46.754	2523044
46.854	2533140
46.954	2543680
47.054	2553780
47.154	2563716
47.254	2573604
47.354	2583156
47.454	2592672
47.554	2602292
47.654	2611760
47.754	2621352
47.854	2630892
47.954	2640132
48.054	2650008
48.154	2659532
48.254	2669412
48.354	2679228
48.454	2688884
48.554	2698296
48.654	2707984
48.754	2717736
48.854	2727392
48.954	2737076
49.054	2746448
49.154	2756312
49.254	2766232
49.354	2776204
49.454	2786456
49.554	2796596
49.654	2806324
49.754	2816392
49.854	2826028
49.954	2836040
50.054	2846212
50.154	2856340
50.254	2866060
50.354	2875908
