%  hypsometry data
%  Depth h (m)    Area A (m^2)
23				0.00E+00
60      		704283
70      		2112292
80      		3286211
90      		4417486
100     		5621208
110     		7086922
120     		8223108
130     		10134764
140     		11462593
150     		12760226
160     		14243109
170             15426356
180             16611948
190             17749661
200             19015289
210             20801248
220             22109314
230             23379343
240             24654908
250             26198315
260             28231076
270             29714270
280             31095048
290             32454233
300             34085488
310             36310434
320             37479601
330             38623251
